op_unique_carrier,fl_date,arr_delay
9E,2018-01-01,4348
9E,2018-01-02,2695
9E,2018-01-03,632
9E,2018-01-04,-557
9E,2018-01-05,19056
9E,2018-01-06,3599
9E,2018-01-07,4051
9E,2018-01-08,19492
9E,2018-01-09,3278
9E,2018-01-10,-3891
9E,2018-01-11,127
9E,2018-01-12,28294
9E,2018-01-13,6351
9E,2018-01-14,-3089
9E,2018-01-15,9013
9E,2018-01-16,1524
9E,2018-01-17,20188
9E,2018-01-18,6563
9E,2018-01-19,-7615
9E,2018-01-20,-6625
9E,2018-01-21,-8700
9E,2018-01-22,-6595
9E,2018-01-23,4118
9E,2018-01-24,-5955
9E,2018-01-25,-7768
9E,2018-01-26,-12233
9E,2018-01-27,-4860
9E,2018-01-28,-5548
9E,2018-01-29,3599
9E,2018-01-30,1705
9E,2018-01-31,-10046
9E,2018-02-01,-8618
9E,2018-02-02,8057
9E,2018-02-03,-3565
9E,2018-02-04,67
9E,2018-02-05,691
9E,2018-02-06,-7014
9E,2018-02-07,32272
9E,2018-02-08,-2060
9E,2018-02-09,5622
9E,2018-02-10,1731
9E,2018-02-11,28680
9E,2018-02-12,5800
9E,2018-02-13,-9355
9E,2018-02-14,-7301
9E,2018-02-15,11198
9E,2018-02-16,6976
9E,2018-02-17,3025
9E,2018-02-18,-4138
9E,2018-02-19,4421
9E,2018-02-20,11499
9E,2018-02-21,8334
9E,2018-02-22,11333
9E,2018-02-23,1257
9E,2018-02-24,53
9E,2018-02-25,3719
9E,2018-02-26,-2947
9E,2018-02-27,-7347
9E,2018-02-28,-7781
9E,2018-03-01,10387
9E,2018-03-02,5507
9E,2018-03-03,3425
9E,2018-03-04,966
9E,2018-03-05,9645
9E,2018-03-06,2896
9E,2018-03-07,183
9E,2018-03-08,9583
9E,2018-03-09,8390
9E,2018-03-10,-2431
9E,2018-03-11,1240
9E,2018-03-12,4608
9E,2018-03-13,3533
9E,2018-03-14,-127
9E,2018-03-15,-2088
9E,2018-03-16,2489
9E,2018-03-17,-4368
9E,2018-03-18,-6755
9E,2018-03-19,-2655
9E,2018-03-20,3338
9E,2018-03-21,1669
9E,2018-03-22,16107
9E,2018-03-23,2189
9E,2018-03-24,-2274
9E,2018-03-25,-4826
9E,2018-03-26,-3815
