unique_carrier,year,month,total_gallons
09Q,2018,1,1467426
09Q,2018,2,1648225
09Q,2018,3,2539355
09Q,2018,4,1119351
09Q,2018,5,975540
09Q,2018,6,1539466
09Q,2018,7,1092191
09Q,2018,8,1042945
09Q,2018,9,1995932
09Q,2018,10,1756209
09Q,2018,11,1933626
09Q,2018,12,1299494
09Q,2019,1,1235210
09Q,2019,2,1177321
09Q,2019,3,1422948
09Q,2019,4,1012260
09Q,2019,5,1432953
09Q,2019,6,1209735
09Q,2019,7,2415527
09Q,2019,8,980418
09Q,2019,9,1008138
0WQ,2018,1,39725
0WQ,2018,2,24526
0WQ,2018,3,27316
0WQ,2018,4,0
0WQ,2018,5,0
0WQ,2018,6,0
0WQ,2018,7,0
0WQ,2018,8,0
0WQ,2018,9,0
0WQ,2018,10,0
0WQ,2018,11,0
0WQ,2018,12,0
0WQ,2019,1,0
0WQ,2019,2,0
0WQ,2019,3,0
0WQ,2019,4,0
0WQ,2019,5,0
0WQ,2019,6,0
0WQ,2019,7,0
0WQ,2019,8,0
0WQ,2019,9,0
1BQ,2018,3,209750
1BQ,2018,4,106326
1BQ,2018,5,129997
1BQ,2018,6,105007
1BQ,2018,7,133734
1BQ,2018,8,78881
1BQ,2018,9,66732
1BQ,2018,10,74383
1BQ,2018,11,100900
1BQ,2018,12,272667
1BQ,2019,1,60821
1BQ,2019,2,21144
1BQ,2019,3,27296
1BQ,2019,4,34596
1BQ,2019,5,21082
1BQ,2019,6,74296
1BQ,2019,7,66793
1BQ,2019,8,30612
1BQ,2019,9,247449
27Q,2018,1,0
27Q,2018,2,0
27Q,2018,3,0
27Q,2018,4,0
27Q,2018,5,0
27Q,2018,6,0
27Q,2018,7,0
27Q,2018,8,0
27Q,2018,9,0
27Q,2018,10,0
27Q,2018,11,0
27Q,2018,12,0
27Q,2019,1,0
27Q,2019,2,0
27Q,2019,3,0
27Q,2019,4,0
27Q,2019,5,0
27Q,2019,6,0
27Q,2019,7,0
27Q,2019,8,0
27Q,2019,9,0
2HQ,2018,1,462132
2HQ,2018,2,436099
2HQ,2018,3,314298
2HQ,2018,4,362690
2HQ,2018,5,304165
2HQ,2018,6,462132
2HQ,2018,7,210465
2HQ,2018,8,210291
2HQ,2018,9,162857
2HQ,2018,10,192870
2HQ,2018,11,342974
2HQ,2018,12,297468
2HQ,2019,1,410186
2HQ,2019,2,380855
2HQ,2019,3,380854
2HQ,2019,4,257621
2HQ,2019,5,273216
2HQ,2019,6,168234
2HQ,2019,7,157065
2HQ,2019,8,145383
2HQ,2019,9,148395
3EQ,2018,10,0
3EQ,2018,11,0
3EQ,2018,12,0
3EQ,2019,1,0
3EQ,2019,2,0
3EQ,2019,3,0
3EQ,2019,4,0
3EQ,2019,5,0
3EQ,2019,6,0
3EQ,2019,7,0
3EQ,2019,8,0
3EQ,2019,9,0
5V,2018,1,364447
5V,2018,2,329727
5V,2018,3,384615
5V,2018,4,339627
5V,2018,5,338685
5V,2018,6,426779
5V,2018,7,486124
5V,2018,8,461062
5V,2018,9,406542
5V,2018,10,412738
5V,2018,11,350202
5V,2018,12,337373
5V,2019,1,304851
5V,2019,2,274605
5V,2019,3,375331
5V,2019,4,333350
5V,2019,5,366102
5V,2019,6,355723
5V,2019,7,426753
5V,2019,8,459018
5V,2019,9,361624
5X,2018,1,71950000
5X,2018,2,61297000
5X,2018,3,70495000
5X,2018,4,69009000
5X,2018,5,74638000
5X,2018,6,69783000
5X,2018,7,71875000
5X,2018,8,74861000
5X,2018,9,67869000
5X,2018,10,75678000
5X,2018,11,78441000
5X,2018,12,85172000
5X,2019,1,73210000
5X,2019,2,61612000
5X,2019,3,70216000
5X,2019,4,72821000
5X,2019,5,75695000
5X,2019,6,72535000
5X,2019,7,78211000
5X,2019,8,75375000
5X,2019,9,72747000
5Y,2018,1,43050935
5Y,2018,2,36373954
5Y,2018,3,41242595
5Y,2018,4,42963903
5Y,2018,5,46779729
5Y,2018,6,45657707
5Y,2018,7,43578108
5Y,2018,8,46091262
5Y,2018,9,46202795
5Y,2018,10,48737592
5Y,2018,11,50629525
5Y,2018,12,47226566
5Y,2019,1,44410125
5Y,2019,2,37897490
5Y,2019,3,50676176
5Y,2019,4,50160128
5Y,2019,5,49527226
5Y,2019,6,47228695
5Y,2019,7,50202675
5Y,2019,8,50506521
5Y,2019,9,48653184
8C,2018,1,797305
8C,2018,2,721330
8C,2018,3,778307
8C,2018,4,621482
8C,2018,5,628901
8C,2018,6,583419
8C,2018,7,649443
8C,2018,8,547553
8C,2018,9,562776
8C,2018,10,850604
8C,2018,11,794330
8C,2018,12,665666
8C,2019,1,765851
8C,2019,2,679645
8C,2019,3,703041
8C,2019,4,1096450
8C,2019,5,846706
8C,2019,6,773865
8C,2019,7,860060
8C,2019,8,801979
8C,2019,9,819601
9E,2018,1,0
9E,2018,2,0
9E,2018,3,0
9E,2018,4,0
9E,2018,5,0
9E,2018,6,0
9E,2018,7,0
9E,2018,8,0
9E,2018,9,0
9E,2018,10,0
9E,2018,11,0
9E,2018,12,0
9E,2019,1,0
9E,2019,2,0
9E,2019,3,0
9E,2019,4,0
9E,2019,5,0
9E,2019,6,0
9E,2019,7,0
9E,2019,8,0
9E,2019,9,0
9S,2018,1,5339185
9S,2018,2,4713140
9S,2018,3,5990596
9S,2018,4,5850792
9S,2018,5,6371833
9S,2018,6,8715680
9S,2018,7,9535003
9S,2018,8,6704811
9S,2018,9,7170103
9S,2018,10,8354440
9S,2018,11,8354440
9S,2018,12,7466658
9S,2019,1,6850007
9S,2019,2,6159111
9S,2019,3,7617225
9S,2019,4,7466445
9S,2019,5,7911553
9S,2019,6,6914484
9S,2019,7,7821501
9S,2019,8,8134510
9S,2019,9,7855357
AA,2018,1,283974071
AA,2018,2,261946387
AA,2018,3,298906244
AA,2018,4,297784292
AA,2018,5,318954880
AA,2018,6,327277749
AA,2018,7,341082450
AA,2018,8,334937605
AA,2018,9,302313376
AA,2018,10,309826329
AA,2018,11,275209633
AA,2018,12,292016200
AA,2019,1,286544730
AA,2019,2,264286537
AA,2019,3,301971007
AA,2019,4,291008622
AA,2019,5,319972133
AA,2019,6,327437203
AA,2019,7,338595043
AA,2019,8,338196501
AA,2019,9,303854847
ABX,2018,1,44160
ABX,2018,2,52160
ABX,2018,3,61992
ABX,2018,4,163281
ABX,2018,5,196691
