unique_carrier,year,month,distance,passengers
L2,2019,12,27942,0
N8,2019,4,67140,0
EI,2018,10,103652,200584
XL,2018,1,8951,12250
OZ,2019,2,162224,115690
VJT,2019,3,413394,486
WL,2018,2,83192,8934
KD,2019,10,210067,0
LH,2019,9,463857,584334
EI,2018,2,81864,88279
PEQ,2019,5,1888,0
10Q,2018,3,9125,5
AA,2018,8,3308006,13350661
9E,2018,7,327606,1285778
38Q,2019,7,2384,5948
9X,2019,9,8312,9371
3M,2018,4,13270,68743
ZW,2019,11,97222,317035
8E,2019,9,50351,10992
JD,2018,5,3828,4458
J2,2018,3,11662,1971
KL,2018,12,209700,158131
TQQ,2019,8,5216,12255
38Q,2018,11,1588,3598
WRD,2018,6,204,7
8R,2019,5,53048,9868
PS,2019,8,9388,19958
AN,2018,7,36277,2256
22Q,2018,1,948,40
3BQ,2019,3,5930,2275
EM,2019,8,15756,18588
9K,2019,1,9019,29703
EY,2018,5,98356,90989
HX,2018,3,32650,41688
3F,2018,9,2101,1414
38Q,2018,2,1229,3724
1XQ,2018,4,11336,5
EK,2018,3,246148,295538
SNK,2018,6,1227,836
JQ,2019,2,21140,12027
KAH,2018,6,7838,8358
C8,2019,3,33971,0
K2,2018,10,19482,4887
F9,2019,12,1159517,2085813
BY,2018,8,67632,25817
Q5,2018,9,636,85
WI,2018,3,85430,0
B0,2018,5,7296,5473
9E,2019,3,305252,1294265
8C,2019,11,177652,0
LJ,2019,5,7586,28640
JQ,2018,12,21140,20983
4C,2018,2,6024,7003
5X,2018,11,1268256,0
07Q,2019,1,44491,15194
WS,2019,10,310433,392734
L2,2018,12,22456,0
4M,2019,12,8812,12554
MP,2018,11,21319,0
Z3,2019,11,1590,249
X4,2019,8,1066,1830
QR,2019,2,176152,137705
9K,2018,3,9046,47746
KZ,2019,9,47464,0
ZW,2018,1,71224,273180
PP,2019,5,11617,37
CZ,2019,1,125062,87314
MW,2019,6,1991,19899
0Q,2018,3,10663,16
LJ,2018,2,3880,6098
HY,2018,5,8406,3852
2RQ,2018,12,17637,8
R0,2019,7,242,479
PH,2019,1,468,7274
BY,2019,10,76396,22753
0BQ,2019,11,7402,8
3SD,2019,4,2632,1294
3AQ,2019,11,1215,365
UA,2019,5,4822883,10269516
QK,2018,3,64232,121847
PFQ,2019,12,41160,0
KO,2018,1,38413,101
NH,2018,1,161595,162014
8V,2018,8,34219,8061
CP,2019,12,70173,379939
1SQ,2019,4,1867,8682
5X,2018,9,989694,0
1ZQ,2018,5,16720,1
I4,2018,3,224,1323
PR,2019,1,84560,101351
KS,2018,5,15087,18209
3E,2018,9,5480,6359
9V,2018,2,5944,8484
CA,2018,5,173151,150719
8C,2018,4,101887,0
2UQ,2019,7,11021,13
NLQ,2018,2,11424,279
WG,2018,9,2446,1929
TQQ,2019,4,10806,16701
AR,2019,12,28572,35521
ZX,2019,1,16772,65863
CP,2019,8,81192,596867
X9,2019,10,103842,23169
WG,2019,7,2480,303
I4,2018,4,445,1464
CX,2018,3,209284,186948
EQ,2019,1,9526,15247
FJ,2018,1,49822,21149
IFQ,2019,10,29503,43
SK,2019,4,132224,98631
MF,2019,9,55030,19542
DI,2019,3,138631,160685
DI,2018,4,114369,143205
2GQ,2019,6,4386,0
5D,2019,9,41779,53384
LJ,2018,5,10890,19399
OZ,2019,1,154864,134678
8E,2018,3,49797,9751
24Q,2018,7,19160,14
GL,2019,1,187259,11276
CRV,2018,2,3228,10
QR,2018,9,176152,133246
2RQ,2019,2,8861,8
BCQ,2019,7,1432,93
VR,2018,4,6776,1326
WN,2019,3,3473851,14773500
LA,2019,1,150805,84184
PT,2018,11,40694,353579
7L,2019,8,12356,0
CX,2019,12,237430,205457
BR,2019,7,135515,140707
YR,2018,1,2133,11185
R0,2019,11,315,303
D7,2019,7,8234,12495
NEW,2019,11,68,1962
GCH,2018,12,59,0
1WQ,2018,2,3422,4334
LA,2019,4,154810,77022
2HQ,2019,1,14238,1660
BW,2019,5,35426,63020
SEB,2018,3,3724,22221
IG,2019,2,17850,11583
Y4,2018,2,388624,206310
PH,2019,6,468,7039
4C,2018,10,3012,7286
M7,2018,11,5412,0
2E,2019,7,608,2442
5V,2019,7,61254,374
EV,2019,6,233125,465147
YV,2019,1,316078,1174795
KV,2018,7,33776,222525
Z3Q,2018,1,140,1095
AAT,2018,4,908,1067
02Q,2019,7,8839,257
KAT,2019,6,2370,2464
AZ,2018,3,64924,71885
